nrens=   100 nrwells=     5 nrdata=     3 nx=    36
  17   3   1   1   0.554713E+06
  18   3   1   1   0.563221E+06
  19   3   1   1   0.561260E+06
  20   3   1   1   0.561594E+06
  21   3   1   1   0.547472E+06
  22   3   1   1   0.522861E+06
  23   3   1   1   0.487374E+06
  24   3   1   1   0.443960E+06
  25   3   1   1   0.363282E+06
  26   3   1   1   0.261021E+06
  27   3   1   1   0.178223E+06
  28   3   1   1   0.105052E+06
  29   3   1   1   0.383610E+05
  30   3   1   1  -0.206934E+05
  31   3   1   1  -0.712849E+05
  32   3   1   1  -0.117024E+06
  33   3   1   1  -0.162968E+06
  34   3   1   1  -0.183721E+06
  35   3   1   1  -0.197962E+06
  36   3   1   1  -0.194087E+06
   1   1   2   1  -0.723322E+03
   2   1   2   1  -0.453107E+03
   3   1   2   1  -0.221549E+03
   4   1   2   1  -0.503578E+01
   5   1   2   1   0.197263E+03
   6   1   2   1   0.378836E+03
   7   1   2   1   0.521804E+03
   8   1   2   1   0.654475E+03
   9   1   2   1   0.722875E+03
  10   1   2   1   0.763519E+03
  11   1   2   1   0.770250E+03
  12   1   2   1   0.747315E+03
  13   1   2   1   0.720642E+03
  14   1   2   1   0.700214E+03
  15   1   2   1   0.647659E+03
  16   1   2   1   0.641021E+03
  17   1   2   1   0.638450E+03
  18   1   2   1   0.591237E+03
  19   1   2   1   0.565209E+03
  20   1   2   1   0.524817E+03
  21   1   2   1   0.490237E+03
  22   1   2   1   0.463298E+03
  23   1   2   1   0.429335E+03
  24   1   2   1   0.372417E+03
  25   1   2   1   0.363914E+03
  26   1   2   1   0.306574E+03
  27   1   2   1   0.252220E+03
  28   1   2   1   0.212145E+03
  29   1   2   1   0.168735E+03
  30   1   2   1   0.131965E+03
  31   1   2   1   0.107818E+03
  32   1   2   1   0.716870E+02
  33   1   2   1   0.400586E+02
  34   1   2   1   0.157146E+02
  35   1   2   1  -0.585557E+01
  36   1   2   1  -0.272999E+02
   1   2   2   1  -0.153435E+01
   2   2   2   1  -0.118002E+01
   3   2   2   1  -0.832736E+00
   4   2   2   1  -0.506903E+00
   5   2   2   1  -0.215571E+00
   6   2   2   1   0.305003E-01
   7   2   2   1   0.223714E+00
   8   2   2   1   0.360359E+00
   9   2   2   1   0.441135E+00
  10   2   2   1   0.471427E+00
  11   2   2   1   0.461302E+00
  12   2   2   1   0.425150E+00
  13   2   2   1   0.380860E+00
  14   2   2   1   0.348454E+00
  15   2   2   1   0.348197E+00
  16   2   2   1   0.398331E+00
  17   2   2   1   0.000000E+00
  18   2   2   1   0.698892E+00
  19   2   2   1   0.956549E+00
  20   2   2   1   0.127731E+01
  21   2   2   1   0.214381E+01
  22   2   2   1   0.102154E+02
  23   2   2   1   0.365072E+02
  24   2   2   1   0.754946E+02
  25   2   2   1   0.110943E+03
  26   2   2   1   0.201169E+03
  27   2   2   1   0.262134E+03
  28   2   2   1   0.319958E+03
  29   2   2   1   0.355234E+03
  30   2   2   1   0.396212E+03
  31   2   2   1   0.368933E+03
  32   2   2   1   0.380761E+03
  33   2   2   1   0.323603E+03
  34   2   2   1   0.258725E+03
  35   2   2   1   0.171845E+03
  36   2   2   1   0.629268E+02
   1   3   2   1   0.514446E+06
   2   3   2   1   0.363006E+06
   3   3   2   1   0.242377E+06
   4   3   2   1   0.132652E+06
   5   3   2   1   0.381252E+05
   6   3   2   1  -0.469621E+05
   7   3   2   1  -0.118615E+06
   8   3   2   1  -0.176963E+06
   9   3   2   1  -0.225030E+06
  10   3   2   1  -0.269904E+06
  11   3   2   1  -0.306327E+06
  12   3   2   1  -0.336504E+06
  13   3   2   1  -0.358229E+06
  14   3   2   1  -0.351221E+06
  15   3   2   1  -0.339323E+06
  16   3   2   1  -0.319168E+06
  17   3   2   1  -0.297671E+06
  18   3   2   1  -0.281301E+06
  19   3   2   1  -0.275769E+06
  20   3   2   1  -0.272618E+06
  21   3   2   1  -0.263104E+06
  22   3   2   1  -0.265670E+06
  23   3   2   1  -0.263320E+06
  24   3   2   1  -0.239781E+06
  25   3   2   1  -0.253860E+06
  26   3   2   1  -0.229909E+06
  27   3   2   1  -0.203633E+06
  28   3   2   1  -0.187000E+06
  29   3   2   1  -0.163057E+06
  30   3   2   1  -0.147573E+06
  31   3   2   1  -0.147557E+06
  32   3   2   1  -0.127441E+06
  33   3   2   1  -0.101103E+06
  34   3   2   1  -0.839625E+05
  35   3   2   1  -0.674005E+05
  36   3   2   1  -0.537082E+05
   1   1   3   1  -0.724729E+03
   2   1   3   1  -0.703057E+03
   3   1   3   1  -0.672979E+03
   4   1   3   1  -0.653163E+03
   5   1   3   1  -0.630059E+03
   6   1   3   1  -0.622058E+03
   7   1   3   1  -0.604874E+03
   8   1   3   1  -0.556964E+03
   9   1   3   1  -0.530608E+03
  10   1   3   1  -0.477906E+03
  11   1   3   1  -0.449618E+03
  12   1   3   1  -0.427163E+03
  13   1   3   1  -0.414187E+03
  14   1   3   1  -0.377222E+03
  15   1   3   1  -0.299881E+03
  16   1   3   1  -0.209205E+03
  17   1   3   1  -0.113818E+03
  18   1   3   1  -0.512260E+02
  19   1   3   1   0.188582E+02
  20   1   3   1   0.111600E+03
  21   1   3   1   0.236878E+03
  22   1   3   1   0.377179E+03
  23   1   3   1   0.516067E+03
  24   1   3   1   0.690746E+03
  25   1   3   1   0.873575E+03
  26   1   3   1   0.102163E+04
  27   1   3   1   0.108934E+04
  28   1   3   1   0.118350E+04
  29   1   3   1   0.121692E+04
  30   1   3   1   0.126654E+04
  31   1   3   1   0.118818E+04
  32   1   3   1   0.105285E+04
  33   1   3   1   0.902145E+03
  34   1   3   1   0.733563E+03
  35   1   3   1   0.607176E+03
  36   1   3   1   0.369560E+03
   1   2   3   1   0.161521E+01
   2   2   3   1   0.147186E+01
   3   2   3   1   0.125349E+01
   4   2   3   1   0.968039E+00
   5   2   3   1   0.628499E+00
   6   2   3   1   0.250919E+00
   7   2   3   1  -0.147838E+00
   8   2   3   1  -0.552145E+00
   9   2   3   1  -0.949102E+00
  10   2   3   1  -0.132926E+01
  11   2   3   1  -0.168659E+01
  12   2   3   1  -0.201779E+01
  13   2   3   1  -0.232119E+01
  14   2   3   1  -0.259553E+01
  15   2   3   1  -0.283874E+01
  16   2   3   1  -0.304696E+01
  17   2   3   1  -0.321410E+01
  18   2   3   1  -0.333183E+01
  19   2   3   1  -0.339027E+01
  20   2   3   1  -0.337906E+01
  21   2   3   1  -0.328872E+01
  22   2   3   1  -0.311213E+01
  23   2   3   1  -0.284575E+01
  24   2   3   1  -0.249069E+01
  25   2   3   1  -0.205340E+01
  26   2   3   1  -0.154592E+01
  27   2   3   1  -0.985802E+00
  28   2   3   1  -0.395329E+00
  29   2   3   1   0.199714E+00
  30   2   3   1   0.771896E+00
  31   2   3   1   0.129438E+01
  32   2   3   1   0.183808E+01
  33   2   3   1   0.174821E+02
  34   2   3   1   0.394051E+02
  35   2   3   1   0.637049E+02
  36   2   3   1   0.176699E+03
   1   3   3   1   0.632835E+05
   2   3   3   1   0.975821E+05
   3   3   3   1   0.123705E+06
   4   3   3   1   0.149406E+06
   5   3   3   1   0.171382E+06
   6   3   3   1   0.204032E+06
   7   3   3   1   0.237128E+06
   8   3   3   1   0.272099E+06
   9   3   3   1   0.306253E+06
  10   3   3   1   0.322804E+06
  11   3   3   1   0.335751E+06
  12   3   3   1   0.342564E+06
  13   3   3   1   0.371971E+06
  14   3   3   1   0.388037E+06
  15   3   3   1   0.396588E+06
  16   3   3   1   0.420878E+06
  17   3   3   1   0.395946E+06
  18   3   3   1   0.432887E+06
  19   3   3   1   0.457648E+06
  20   3   3   1   0.480958E+06
  21   3   3   1   0.492212E+06
  22   3   3   1   0.490926E+06
  23   3   3   1   0.491134E+06
  24   3   3   1   0.434856E+06
  25   3   3   1   0.393128E+06
  26   3   3   1   0.331612E+06
  27   3   3   1   0.281048E+06
  28   3   3   1   0.241970E+06
  29   3   3   1   0.199437E+06
  30   3   3   1   0.146125E+06
  31   3   3   1   0.777540E+05
  32   3   3   1   0.682947E+04
  33   3   3   1  -0.620963E+05
  34   3   3   1  -0.126214E+06
  35   3   3   1  -0.214050E+06
  36   3   3   1  -0.241104E+06
   1   1   4   1  -0.000000E+00
   2   1   4   1  -0.000000E+00
   3   1   4   1  -0.000000E+00
   4   1   4   1  -0.000000E+00
   5   1   4   1  -0.000000E+00
   6   1   4   1  -0.000000E+00
   7   1   4   1  -0.000000E+00
   8   1   4   1  -0.000000E+00
   9   1   4   1  -0.000000E+00
  10   1   4   1  -0.000000E+00
  11   1   4   1  -0.000000E+00
  12   1   4   1  -0.000000E+00
  13   1   4   1  -0.600057E+03
  14   1   4   1  -0.480114E+03
  15   1   4   1  -0.372515E+03
  16   1   4   1  -0.254775E+03
  17   1   4   1  -0.128435E+03
  18   1   4   1  -0.297385E+02
  19   1   4   1   0.442536E+02
  20   1   4   1   0.996846E+02
  21   1   4   1   0.139826E+03
  22   1   4   1   0.164483E+03
  23   1   4   1   0.169042E+03
  24   1   4   1   0.172033E+03
  25   1   4   1   0.165557E+03
  26   1   4   1   0.155586E+03
  27   1   4   1   0.144990E+03
  28   1   4   1   0.140028E+03
  29   1   4   1   0.135942E+03
  30   1   4   1   0.132358E+03
  31   1   4   1   0.138254E+03
  32   1   4   1   0.148001E+03
  33   1   4   1   0.164035E+03
  34   1   4   1   0.179613E+03
  35   1   4   1   0.199872E+03
  36   1   4   1   0.216779E+03
   1   2   4   1   0.000000E+00
   2   2   4   1   0.000000E+00
   3   2   4   1   0.000000E+00
   4   2   4   1   0.000000E+00
   5   2   4   1   0.000000E+00
   6   2   4   1   0.000000E+00
   7   2   4   1  -0.000000E+00
   8   2   4   1  -0.000000E+00
   9   2   4   1  -0.000000E+00
  10   2   4   1  -0.000000E+00
  11   2   4   1  -0.000000E+00
  12   2   4   1  -0.000000E+00
  13   2   4   1  -0.171253E+01
  14   2   4   1  -0.172544E+01
  15   2   4   1  -0.195796E+01
  16   2   4   1  -0.971886E+01
  17   2   4   1  -0.774362E+02
  18   2   4   1  -0.141443E+03
  19   2   4   1  -0.192943E+03
  20   2   4   1  -0.230427E+03
  21   2   4   1  -0.275874E+03
  22   2   4   1  -0.322021E+03
  23   2   4   1  -0.386918E+03
  24   2   4   1  -0.448897E+03
  25   2   4   1  -0.521287E+03
  26   2   4   1  -0.597444E+03
  27   2   4   1  -0.724787E+03
  28   2   4   1  -0.820852E+03
  29   2   4   1  -0.866266E+03
  30   2   4   1  -0.926007E+03
  31   2   4   1  -0.934170E+03
  32   2   4   1  -0.967091E+03
  33   2   4   1  -0.958085E+03
  34   2   4   1  -0.873958E+03
  35   2   4   1  -0.731513E+03
  36   2   4   1  -0.532118E+03
   1   3   4   1  -0.000000E+00
   2   3   4   1   0.000000E+00
   3   3   4   1   0.000000E+00
   4   3   4   1   0.000000E+00
   5   3   4   1   0.000000E+00
   6   3   4   1   0.000000E+00
   7   3   4   1   0.000000E+00
   8   3   4   1   0.000000E+00
   9   3   4   1   0.000000E+00
  10   3   4   1   0.000000E+00
  11   3   4   1   0.000000E+00
  12   3   4   1   0.000000E+00
  13   3   4   1   0.676906E+06
  14   3   4   1   0.603427E+06
  15   3   4   1   0.536082E+06
  16   3   4   1   0.452423E+06
  17   3   4   1   0.343479E+06
  18   3   4   1   0.252183E+06
  19   3   4   1   0.174945E+06
  20   3   4   1   0.113708E+06
  21   3   4   1   0.675031E+05
  22   3   4   1   0.330546E+05
  23   3   4   1   0.670041E+04
  24   3   4   1  -0.127078E+05
  25   3   4   1  -0.270916E+05
  26   3   4   1  -0.382792E+05
  27   3   4   1  -0.461716E+05
  28   3   4   1  -0.553416E+05
  29   3   4   1  -0.611478E+05
  30   3   4   1  -0.646435E+05
  31   3   4   1  -0.716222E+05
  32   3   4   1  -0.732004E+05
  33   3   4   1  -0.755678E+05
  34   3   4   1  -0.761026E+05
  35   3   4   1  -0.752841E+05
  36   3   4   1  -0.732993E+05
   1   1   5   1  -0.000000E+00
   2   1   5   1  -0.000000E+00
   3   1   5   1  -0.000000E+00
   4   1   5   1  -0.000000E+00
   5   1   5   1  -0.000000E+00
   6   1   5   1  -0.000000E+00
   7   1   5   1  -0.000000E+00
   8   1   5   1  -0.000000E+00
   9   1   5   1  -0.000000E+00
  10   1   5   1   0.000000E+00
  11   1   5   1   0.000000E+00
  12   1   5   1   0.000000E+00
  13   1   5   1   0.353415E+03
  14   1   5   1   0.196010E+03
  15   1   5   1   0.183994E+03
  16   1   5   1   0.214058E+03
  17   1   5   1   0.293856E+03
  18   1   5   1   0.345899E+03
  19   1   5   1   0.511216E+03
  20   1   5   1   0.470060E+03
  21   1   5   1   0.495401E+03
  22   1   5   1   0.458968E+03
  23   1   5   1   0.548310E+03
  24   1   5   1   0.548417E+03
  25   1   5   1   0.490772E+03
  26   1   5   1   0.406969E+03
  27   1   5   1   0.364722E+03
  28   1   5   1   0.284556E+03
  29   1   5   1   0.198420E+03
  30   1   5   1   0.122670E+03
  31   1   5   1   0.212293E+02
  32   1   5   1  -0.751994E+02
  33   1   5   1  -0.185210E+03
  34   1   5   1  -0.279800E+03
  35   1   5   1  -0.355848E+03
  36   1   5   1  -0.447827E+03
   1   2   5   1   0.000000E+00
   2   2   5   1   0.000000E+00
   3   2   5   1   0.000000E+00
   4   2   5   1   0.000000E+00
   5   2   5   1   0.000000E+00
   6   2   5   1   0.000000E+00
   7   2   5   1   0.000000E+00
   8   2   5   1   0.000000E+00
   9   2   5   1   0.000000E+00
  10   2   5   1   0.000000E+00
  11   2   5   1   0.000000E+00
  12   2   5   1   0.000000E+00
  13   2   5   1   0.265488E+01
  14   2   5   1   0.227494E+01
  15   2   5   1   0.184542E+01
  16   2   5   1   0.138163E+01
  17   2   5   1   0.897736E+00
  18   2   5   1   0.406324E+00
  19   2   5   1  -0.817816E-01
  20   2   5   1  -0.557378E+00
  21   2   5   1  -0.101260E+01
  22   2   5   1  -0.144054E+01
  23   2   5   1  -0.183491E+01
  24   2   5   1  -0.218974E+01
  25   2   5   1  -0.249920E+01
  26   2   5   1  -0.275767E+01
  27   2   5   1  -0.295979E+01
  28   2   5   1  -0.310076E+01
  29   2   5   1  -0.317665E+01
  30   2   5   1  -0.318472E+01
  31   2   5   1  -0.312381E+01
  32   2   5   1  -0.299481E+01
  33   2   5   1  -0.280111E+01
  34   2   5   1  -0.254909E+01
  35   2   5   1  -0.224821E+01
  36   2   5   1  -0.217789E+01
   1   3   5   1  -0.000000E+00
   2   3   5   1  -0.000000E+00
   3   3   5   1  -0.000000E+00
   4   3   5   1  -0.000000E+00
   5   3   5   1  -0.000000E+00
   6   3   5   1  -0.000000E+00
   7   3   5   1  -0.000000E+00
   8   3   5   1  -0.000000E+00
   9   3   5   1  -0.000000E+00
  10   3   5   1  -0.000000E+00
  11   3   5   1  -0.000000E+00
  12   3   5   1  -0.000000E+00
  13   3   5   1  -0.359582E+06
  14   3   5   1  -0.330206E+06
  15   3   5   1  -0.311260E+06
  16   3   5   1  -0.276001E+06
  17   3   5   1  -0.248764E+06
  18   3   5   1  -0.213794E+06
  19   3   5   1  -0.170564E+06
  20   3   5   1  -0.125633E+06
  21   3   5   1  -0.711782E+05
  22   3   5   1  -0.158763E+05
  23   3   5   1   0.157318E+05
  24   3   5   1   0.433599E+05
  25   3   5   1   0.724116E+05
  26   3   5   1   0.961170E+05
  27   3   5   1   0.131624E+06
  28   3   5   1   0.165417E+06
  29   3   5   1   0.209914E+06
  30   3   5   1   0.241345E+06
  31   3   5   1   0.245987E+06
  32   3   5   1   0.283070E+06
  33   3   5   1   0.296184E+06
  34   3   5   1   0.282223E+06
  35   3   5   1   0.292702E+06
  36   3   5   1   0.254115E+06
   1   1   1   2   0.984695E+03
   2   1   1   2   0.103697E+04
   3   1   1   2   0.105504E+04
   4   1   1   2   0.104336E+04
   5   1   1   2   0.987431E+03
   6   1   1   2   0.728357E+03
   7   1   1   2   0.493243E+03
   8   1   1   2   0.407895E+03
   9   1   1   2   0.358852E+03
  10   1   1   2   0.233198E+03
  11   1   1   2   0.344787E+02
  12   1   1   2  -0.178655E+03
  13   1   1   2  -0.381738E+03
  14   1   1   2  -0.585816E+03
  15   1   1   2  -0.756641E+03
  16   1   1   2  -0.918701E+03
  17   1   1   2  -0.105326E+04
  18   1   1   2  -0.117151E+04
  19   1   1   2  -0.124381E+04
  20   1   1   2  -0.130478E+04
  21   1   1   2  -0.133079E+04
  22   1   1   2  -0.132307E+04
  23   1   1   2  -0.130094E+04
  24   1   1   2  -0.125147E+04
  25   1   1   2  -0.109132E+04
  26   1   1   2  -0.921389E+03
  27   1   1   2  -0.740505E+03
  28   1   1   2  -0.582507E+03
  29   1   1   2  -0.442057E+03
  30   1   1   2  -0.313926E+03
  31   1   1   2  -0.196963E+03
  32   1   1   2  -0.990936E+02
  33   1   1   2  -0.148621E+02
  34   1   1   2   0.582663E+02
  35   1   1   2   0.109350E+03
  36   1   1   2   0.129565E+03
   1   2   1   2  -0.944652E+00
   2   2   1   2  -0.661545E+00
   3   2   1   2  -0.418029E+00
   4   2   1   2  -0.211291E+00
   5   2   1   2  -0.351590E-01
   6   2   1   2   0.118376E+00
   7   2   1   2   0.257540E+00
   8   2   1   2   0.389341E+00
   9   2   1   2   0.518534E+00
  10   2   1   2   0.647111E+00
  11   2   1   2   0.774366E+00
  12   2   1   2   0.897495E+00
  13   2   1   2   0.101261E+01
  14   2   1   2   0.111602E+01
  15   2   1   2   0.120548E+01
  16   2   1   2   0.129389E+01
  17   2   1   2   0.230315E+01
  18   2   1   2   0.467629E+01
  19   2   1   2   0.100127E+02
  20   2   1   2   0.191244E+02
  21   2   1   2   0.349314E+02
  22   2   1   2   0.610880E+02
  23   2   1   2   0.106058E+03
  24   2   1   2   0.182730E+03
  25   2   1   2   0.330940E+03
  26   2   1   2   0.531026E+03
  27   2   1   2   0.784523E+03
  28   2   1   2   0.100371E+04
  29   2   1   2   0.116149E+04
  30   2   1   2   0.126525E+04
  31   2   1   2   0.129094E+04
  32   2   1   2   0.123507E+04
  33   2   1   2   0.105216E+04
  34   2   1   2   0.868072E+03
  35   2   1   2   0.572393E+03
  36   2   1   2   0.223485E+03
   1   3   1   2  -0.259340E+06
   2   3   1   2  -0.242077E+06
   3   3   1   2  -0.239542E+06
   4   3   1   2  -0.254882E+06
   5   3   1   2  -0.308548E+06
   6   3   1   2  -0.381452E+06
   7   3   1   2  -0.400327E+06
   8   3   1   2  -0.437094E+06
   9   3   1   2  -0.464365E+06
  10   3   1   2  -0.508870E+06
  11   3   1   2  -0.466688E+06
  12   3   1   2  -0.472759E+06
  13   3   1   2  -0.466258E+06
  14   3   1   2  -0.464864E+06
  15   3   1   2  -0.437407E+06
  16   3   1   2  -0.400567E+06
  17   3   1   2  -0.366299E+06
  18   3   1   2  -0.308876E+06
  19   3   1   2  -0.244578E+06
  20   3   1   2  -0.179382E+06
  21   3   1   2  -0.107066E+06
  22   3   1   2  -0.306508E+05
  23   3   1   2   0.489365E+05
  24   3   1   2   0.131819E+06
  25   3   1   2   0.203196E+06
  26   3   1   2   0.247078E+06
  27   3   1   2   0.286094E+06
  28   3   1   2   0.319024E+06
  29   3   1   2   0.341032E+06
  30   3   1   2   0.355495E+06
  31   3   1   2   0.355743E+06
  32   3   1   2   0.359393E+06
  33   3   1   2   0.368155E+06
  34   3   1   2   0.328579E+06
  35   3   1   2   0.289936E+06
  36   3   1   2   0.235899E+06
   1   1   2   2   0.268561E+03
   2   1   2   2   0.883063E+02
   3   1   2   2  -0.767585E+02
   4   1   2   2  -0.236834E+03
   5   1   2   2  -0.398852E+03
   6   1   2   2  -0.548861E+03
   7   1   2   2  -0.669101E+03
   8   1   2   2  -0.796313E+03
   9   1   2   2  -0.861393E+03
  10   1   2   2  -0.905772E+03
  11   1   2   2  -0.917418E+03
  12   1   2   2  -0.896627E+03
  13   1   2   2  -0.870151E+03
  14   1   2   2  -0.846498E+03
  15   1   2   2  -0.776087E+03
  16   1   2   2  -0.749347E+03
  17   1   2   2  -0.711296E+03
  18   1   2   2  -0.607636E+03
  19   1   2   2  -0.512725E+03
  20   1   2   2  -0.396235E+03
  21   1   2   2  -0.284714E+03
  22   1   2   2  -0.185198E+03
  23   1   2   2  -0.985534E+02
  24   1   2   2  -0.319881E+02
  25   1   2   2   0.747149E+01
  26   1   2   2   0.259671E+02
  27   1   2   2   0.267870E+02
  28   1   2   2   0.186354E+02
  29   1   2   2   0.595141E+01
  30   1   2   2  -0.540412E+01
  31   1   2   2  -0.127459E+02
  32   1   2   2  -0.100487E+02
  33   1   2   2   0.288934E+01
  34   1   2   2   0.254365E+02
  35   1   2   2   0.566733E+02
  36   1   2   2   0.986934E+02
   1   2   2   2  -0.118204E+01
   2   2   2   2  -0.163352E+01
   3   2   2   2  -0.200850E+01
   4   2   2   2  -0.229457E+01
   5   2   2   2  -0.248474E+01
   6   2   2   2  -0.257797E+01
   7   2   2   2  -0.257917E+01
   8   2   2   2  -0.249887E+01
   9   2   2   2  -0.235235E+01
  10   2   2   2  -0.215858E+01
  11   2   2   2  -0.193882E+01
  12   2   2   2  -0.171504E+01
  13   2   2   2  -0.150819E+01
  14   2   2   2  -0.133637E+01
  15   2   2   2  -0.121306E+01
  16   2   2   2  -0.114574E+01
  17   2   2   2  -0.000000E+00
  18   2   2   2  -0.117474E+01
  19   2   2   2  -0.125250E+01
  20   2   2   2  -0.135138E+01
  21   2   2   2  -0.189178E+01
  22   2   2   2  -0.768641E+01
  23   2   2   2  -0.237074E+02
  24   2   2   2  -0.424271E+02
  25   2   2   2  -0.535835E+02
  26   2   2   2  -0.819337E+02
  27   2   2   2  -0.867041E+02
  28   2   2   2  -0.797846E+02
  29   2   2   2  -0.562192E+02
  30   2   2   2  -0.200705E+02
  31   2   2   2   0.311699E+02
  32   2   2   2   0.101828E+03
  33   2   2   2   0.175035E+03
  34   2   2   2   0.262299E+03
  35   2   2   2   0.355956E+03
  36   2   2   2   0.425630E+03
   1   3   2   2   0.857770E+05
   2   3   2   2   0.196794E+06
   3   3   2   2   0.293355E+06
   4   3   2   2   0.369577E+06
   5   3   2   2   0.439668E+06
   6   3   2   2   0.499347E+06
   7   3   2   2   0.527803E+06
   8   3   2   2   0.543999E+06
   9   3   2   2   0.553212E+06
  10   3   2   2   0.567005E+06
  11   3   2   2   0.569489E+06
  12   3   2   2   0.564224E+06
  13   3   2   2   0.546587E+06
  14   3   2   2   0.488287E+06
  15   3   2   2   0.427411E+06
  16   3   2   2   0.359524E+06
  17   3   2   2   0.293402E+06
  18   3   2   2   0.234699E+06
  19   3   2   2   0.185338E+06
  20   3   2   2   0.136647E+06
  21   3   2   2   0.859272E+05
  22   3   2   2   0.409624E+05
  23   3   2   2  -0.269723E+04
  24   3   2   2  -0.390294E+05
  25   3   2   2  -0.766682E+05
  26   3   2   2  -0.986125E+05
  27   3   2   2  -0.111189E+06
  28   3   2   2  -0.122766E+06
  29   3   2   2  -0.124488E+06
  30   3   2   2  -0.128345E+06
  31   3   2   2  -0.144315E+06
  32   3   2   2  -0.139234E+06
  33   3   2   2  -0.123483E+06
  34   3   2   2  -0.116058E+06
  35   3   2   2  -0.108867E+06
  36   3   2   2  -0.108385E+06
   1   1   3   2  -0.112567E+04
   2   1   3   2  -0.107487E+04
   3   1   3   2  -0.975678E+03
   4   1   3   2  -0.856506E+03
   5   1   3   2  -0.701738E+03
   6   1   3   2  -0.537011E+03
   7   1   3   2  -0.345329E+03
   8   1   3   2  -0.139302E+03
   9   1   3   2   0.458267E+02
  10   1   3   2   0.205158E+03
  11   1   3   2   0.348523E+03
  12   1   3   2   0.481963E+03
  13   1   3   2   0.622997E+03
  14   1   3   2   0.730615E+03
  15   1   3   2   0.749585E+03
  16   1   3   2   0.705324E+03
  17   1   3   2   0.584459E+03
  18   1   3   2   0.588053E+03
  19   1   3   2   0.597146E+03
  20   1   3   2   0.674432E+03
  21   1   3   2   0.744408E+03
  22   1   3   2   0.763921E+03
  23   1   3   2   0.739886E+03
  24   1   3   2   0.736127E+03
  25   1   3   2   0.708972E+03
  26   1   3   2   0.634876E+03
  27   1   3   2   0.510945E+03
  28   1   3   2   0.401219E+03
  29   1   3   2   0.269379E+03
  30   1   3   2   0.137867E+03
  31   1   3   2  -0.549668E+01
  32   1   3   2  -0.132008E+03
  33   1   3   2  -0.235993E+03
  34   1   3   2  -0.312855E+03
  35   1   3   2  -0.392380E+03
  36   1   3   2  -0.364005E+03
   1   2   3   2   0.213794E+01
   2   2   3   2   0.174810E+01
   3   2   3   2   0.127024E+01
   4   2   3   2   0.719401E+00
   5   2   3   2   0.115833E+00
   6   2   3   2  -0.516122E+00
